"Club","Points","GF","GA","GD","Group","Europa","n_teams","Rank","Elo","Tilt","Pass"
"Mallorca",57,44,42,2,"ESP",2,20,6,1641.24829102,1.01315789473684,4
"Espanyol",57,47,66,-19,"ESP",2,20,7,1634.66186523,1.37812877792035,4
"Rayo Vallecano",55,50,45,5,"ESP",2,20,8,1658.47595215,1.01315789473684,4
"Bilbao",54,52,49,3,"ESP",2,20,9,1789.30895996,1.28947368421053,4
"Betis",51,45,45,0,"ESP",2,20,10,1742.14355469,1.22368421052632,4
"Alaves",49,41,38,3,"ESP",2,20,11,1644.11938477,1.07894736842105,4
"Celta",49,49,48,1,"ESP",2,20,12,1689.27087402,1.35526315789474,4
"Osasuna",48,39,45,-6,"ESP",2,20,13,1697.22412109,1.32894736842105,4
"Sociedad",47,34,51,-17,"ESP",2,20,14,1667.3203125,1.18421052631579,4
"Getafe",46,34,42,-8,"ESP",2,20,15,1625.7598877,1.26315789473684,4
"Leganes",43,37,42,-5,"ESP",2,20,16,1599.02893066,1.36493058759715,4
"Las Palmas",43,35,53,-18,"ESP",2,20,17,1563.5020752,1.05263157894737,4
"Girona",43,51,73,-22,"ESP",2,20,18,1637.03479004,1.72368421052632,4
"Valladolid",43,45,74,-29,"ESP",2,20,19,1467.32788086,1.29491252230008,4
"Valencia",33,29,51,-22,"ESP",2,20,20,1679.41589355,1.11842105263158,4
"Bayern",77,107,30,77,"GER",2,18,1,1918.99780273,2.04411764705882,4
"Leverkusen",66,77,50,27,"GER",2,18,2,1848.78601074,1.66176470588235,4
"Frankfurt",64,66,45,21,"GER",2,18,3,1745.75793457,1.48529411764706,4
"Dortmund",61,58,32,26,"GER",2,18,4,1818.35009766,1.63235294117647,4
"Werder",55,61,59,2,"GER",2,18,5,1677.4543457,1.5,4
"Hoffenheim",50,55,58,-3,"GER",2,18,6,1605.84057617,1.94117647058824,4
"Stuttgart",49,49,49,0,"GER",2,18,7,1719.31469727,1.72058823529412,4
"RB Leipzig",47,55,54,1,"GER",2,18,8,1716.37438965,1.70588235294118,4
"Augsburg",47,50,61,-11,"GER",2,18,9,1618.65966797,1.61764705882353,4
"Bochum",45,47,55,-8,"GER",2,18,10,1539.73632812,1.70588235294118,4
"Wolfsburg",44,43,51,-8,"GER",2,18,11,1645.72412109,1.42647058823529,4
"Union Berlin",44,43,54,-11,"GER",2,18,12,1617.16491699,1.33823529411765,4
"Gladbach",43,48,51,-3,"GER",2,18,13,1632.47961426,1.80882352941176,4
"Freiburg",39,49,57,-8,"GER",2,18,14,1684.3404541,1.51470588235294,4
"Mainz",37,45,67,-22,"GER",2,18,15,1706.18273926,1.32352941176471,4
"St Pauli",34,40,63,-23,"GER",2,18,16,1577.10717773,1.31791736050978,4
"Heidenheim",34,41,67,-26,"GER",2,18,17,1558.72509766,1.54411764705882,4
"Holstein",30,35,66,-31,"GER",2,18,18,1537.13269043,1.29810009035009,4
"Dinamo Zagreb",40,38,16,22,"CRO",0,10,1,1527.02502441,1.39705227597143,0
"Istra 1961",32,31,18,13,"CRO",0,10,2,1362.64489746,1.28049867275128,0
"Hajduk",29,22,17,5,"CRO",0,10,3,1435.51623535,1.33718669540796,0
"Varazdin",29,22,19,3,"CRO",0,10,4,1347.17712402,1.25567452103764,0
"Rijeka",23,24,23,1,"CRO",0,10,5,1442.31982422,1.28311514406089,0
"Osijek",22,27,29,-2,"CRO",0,10,6,1353.87341309,1.30277499134482,0
"Lok Zagreb",21,25,24,1,"CRO",0,10,7,1339.54748535,1.26115741950944,0
"HNK Gorica",20,20,29,-9,"CRO",0,10,8,1266.1652832,1.25673068659948,0
"Sibenik",18,15,32,-17,"CRO",0,10,9,1204.60949707,1.3358139614379,0
"Slaven Belupo",12,15,32,-17,"CRO",0,10,10,1324.84362793,1.2949737935428,0
"Rangers",55,59,16,43,"SCO",1,12,1,1587.43994141,1.56578947368421,1
"Celtic",47,59,23,36,"SCO",1,12,2,1662.38671875,1.64473684210526,1
"Dundee",38,42,37,5,"SCO",1,12,3,1282.87023926,1.53947368421053,1
"St Johnstone",35,26,26,0,"SCO",1,12,4,1221.51623535,1.09210526315789,1
"Motherwell",29,30,31,-1,"SCO",1,12,5,1309.34545898,1.51315789473684,1
"Dundee United",28,29,35,-6,"SCO",1,12,6,1302.08666992,1.37360554420383,1
"Hibernian",28,29,37,-8,"SCO",1,12,7,1429.87890625,1.46052631578947,1
"Aberdeen",24,27,39,-12,"SCO",1,12,8,1338.04016113,1.31578947368421,1
"St Mirren",22,25,32,-7,"SCO",1,12,9,1367.06835938,1.28947368421053,1
"Ross County",21,25,43,-18,"SCO",1,12,10,1244.04736328,1.38157894736842,1
"Hearts",20,21,39,-18,"SCO",1,12,11,1406.42919922,1.26315789473684,1
"Kilmarnock",18,19,33,-14,"SCO",1,12,12,1325.25195312,1.18421052631579,1
"Steaua",65,68,28,40,"ROM",1,17,1,1555.09423828,1.33555894017601,1
"Rapid Bucuresti",59,46,31,15,"ROM",1,17,2,1375.25671387,1.33289863393574,1
"Sepsi",54,45,36,9,"ROM",1,17,3,1290.68066406,1.30488118823164,1
"Craiova",53,43,30,13,"ROM",1,17,4,1424.82824707,1.19696251660061,1
"CFR Cluj",52,55,37,18,"ROM",1,17,5,1478.15344238,1.23481619748055,1
"Otelul Galati",50,46,41,5,"ROM",1,17,6,1304.88562012,1.3059556677392,1
"Hermannstadt",50,50,47,3,"ROM",1,17,7,1329.19116211,1.38113984011175,1
"Botosani",48,34,31,3,"ROM",1,17,8,1267.04626465,1.31151803362124,1
"Universitatea Cluj",46,45,41,4,"ROM",1,17,9,1378.57189941,1.38324250107024,1
"Dinamo Bucuresti",43,40,30,10,"ROM",1,17,10,1317.17785645,1.39894655424316,1
"Corvinul Hunedoara",40,30,47,-17,"ROM",1,17,11,1218.04663086,1.30487960143285,1
"Iasi",39,41,51,-10,"ROM",1,17,12,1254.77526855,1.30525429903596,1
"Viitorul",38,35,47,-12,"ROM",1,17,13,1331.0637207,1.43777224813437,1
"UTA Arad",36,40,48,-8,"ROM",1,17,14,1288.83398438,1.3085839714743,1
"Unirea Slobozia",32,38,50,-12,"ROM",1,17,15,1225.63012695,1.37516226499166,1
"Gloria Buzau",25,30,60,-30,"ROM",1,17,16,1151.76306152,1.34398209262947,1
"Petrolul Ploiesti",18,24,55,-31,"ROM",1,17,17,1280.50402832,1.20752264369933,1
"Midtjylland",50,49,19,30,"DEN",1,12,1,1595.68408203,1.30271202690436,1
"FC Kobenhavn",46,41,18,23,"DEN",1,12,2,1621.64001465,1.39277886419902,1
"Aarhus",38,26,23,3,"DEN",1,12,3,1449.50964355,1.33715079634234,1
"Nordsjaelland",37,27,24,3,"DEN",1,12,4,1515.36816406,1.22286262654836,1
"Brondby",36,27,22,5,"DEN",1,12,5,1547.92456055,1.25625373043917,1
"Viborg",29,33,31,2,"DEN",1,12,6,1447.69433594,1.26306434509579,1
"SonderjyskE",26,21,27,-6,"DEN",1,12,7,1360.40319824,1.31261429872342,1
"Aalborg",25,26,47,-21,"DEN",1,12,8,1285.1204834,1.21774274620858,1
"Silkeborg",23,26,32,-6,"DEN",1,12,9,1461.40356445,1.28725303827068,1
"Randers",23,27,37,-10,"DEN",1,12,10,1466.17724609,1.27957921969651,1
"Vejle",21,22,29,-7,"DEN",1,12,11,1342.21606445,1.30952553516081,1
"Lyngby",19,17,33,-16,"DEN",1,12,12,1331.06628418,1.31927895136797,1
"Arsenal",67,77,51,26,"ENG",2,20,1,1993.3404541,1.57894736842105,4
"Bournemouth",66,85,61,24,"ENG",2,20,2,1808.09545898,1.59210526315789,4
"Liverpool",65,83,56,27,"ENG",2,20,3,1993.41796875,1.67105263157895,4
"Crystal Palace",63,77,57,20,"ENG",2,20,4,1835.04040527,1.51315789473684,4
"Newcastle",63,79,62,17,"ENG",2,20,5,1868.55273438,1.93421052631579,4
"Wolves",61,62,65,-3,"ENG",2,20,6,1735.76257324,1.51315789473684,4
